,Research Area,Amount USD Since 2017,name,Amount_Million,Percentage
25,Operational,110907823.8,Human,110.9078238,46.28208493
26,Capacity Building,60244501.37,Human,60.24450137,25.14016625
27,Other Products,25641954.55,Human,25.64195455,10.70044545
28,Basic Research,18839416.62,Human,18.83941662,7.861731032
29,Policy,10464584.2,Human,10.4645842,4.366894581
30,Diagnostics,9884857.34,Human,9.88485734,4.124973255
31,Therapeutics,3500196.06,Human,3.50019606,1.460639708
32,Preventives Other,151124.98,Human,0.15112498,0.063064795
33,Operational,20687891.42,Plant,20.68789142,57.35369198
34,Basic Research,3990974.31,Plant,3.99097431,11.06430359
35,Policy,3972999.87,Plant,3.97299987,11.01447248
36,Capacity Building,3431958.77,Plant,3.43195877,9.514527226
37,Diagnostics,1966422.77,Plant,1.96642277,5.451575685
38,Other Products,1528600.98,Plant,1.52860098,4.237788568
39,Promotants,491874.98,Plant,0.49187498,1.363640476
40,Operational,56677166.66,Other Environment,56.67716666,52.31342925
41,Basic Research,27982206.45,Other Environment,27.98220645,25.82777622
42,Policy,7485055.24,Other Environment,7.48505524,6.908759397
43,Capacity Building,5127518.22,Other Environment,5.12751822,4.732735905
44,Diagnostics,4785730.65,Other Environment,4.78573065,4.417263539
45,Therapeutics,3223515.24,Other Environment,3.22351524,2.975327568
46,Other Products,2286483.98,Other Environment,2.28648398,2.110441029
47,Promotants,773847.85,Other Environment,0.77384785,0.714267087
48,Capacity Building,91025866.72,Other Animal,91.02586672,44.33168271
49,Operational,77625426.71,Other Animal,77.62542671,37.80536139
50,Basic Research,11108804.64,Other Animal,11.10880464,5.410242388
51,Promotants,10198138.34,Other Animal,10.19813834,4.966727035
52,Policy,8858771.36,Other Animal,8.85877136,4.314424627
53,Diagnostics,5271880.96,Other Animal,5.27188096,2.567526819
54,Other Products,1240260,Other Animal,1.24026,0.604035037